id,time_observed_at,user_id,user_name,latitude,longitude,scientific_name
197485534,2023-10-14 12:50:00 UTC,7723374,Jakub Padała,51.0315626764,21.9148945436,Aureoboletus projectellus
198595137,2018-10-05 12:15:57 UTC,7750079,Tomasz Klejdysz,54.7814102172,17.6799964903,Aureoboletus projectellus
215525210,2023-09-17 09:08:10 UTC,3117529,,55.3573685988,26.0538596655,Aureoboletus projectellus
216269140,2023-07-22 10:43:00 UTC,6324329,Linus Koch,55.7441946312,8.3220012621,Aureoboletus projectellus
219490696,2023-08-10 07:31:00 UTC,8192339,,53.7419919,14.2650808,Aureoboletus projectellus
226920265,2024-07-03 11:47:00 UTC,5936420,,54.3015984309,24.2220962048,Aureoboletus projectellus
229487903,2024-07-12 16:36:00 UTC,3953738,Marcin Dyderski,54.8237905112,17.9605371918,Aureoboletus projectellus
230703310,2024-07-21 09:47:22 UTC,7542149,Mirosław Wantoch-Rekowski,54.789555,17.7083566667,Aureoboletus projectellus
230703851,2024-07-21 09:51:15 UTC,7542149,Mirosław Wantoch-Rekowski,54.7897966667,17.70915,Aureoboletus projectellus
230726523,2024-07-21 12:23:04 UTC,7542149,Mirosław Wantoch-Rekowski,54.815965,17.8858,Aureoboletus projectellus
230727310,2024-07-21 12:27:04 UTC,7542149,Mirosław Wantoch-Rekowski,54.8161566667,17.8852016667,Aureoboletus projectellus
233088707,2024-08-01 12:42:32 UTC,859474,Aira Lažauninkienė,55.5517361686,21.1072317884,Aureoboletus projectellus
233673455,2024-08-01 16:12:47 UTC,8419175,,54.3138740617,24.6288148106,Aureoboletus projectellus
233944446,2024-08-05 14:41:07 UTC,8333460,,54.00315,23.9803805556,Aureoboletus projectellus
234188835,2024-08-06 15:08:19 UTC,8383517,,55.5483993824,21.110130921,Aureoboletus projectellus
234234960,2024-08-06 18:06:06 UTC,4935500,,54.9669416667,20.5145116667,Aureoboletus projectellus
234485965,2024-08-08 08:52:19 UTC,945323,Žygimantas Valiuška,55.49152,21.266645,Aureoboletus projectellus
234494995,2024-08-08 08:52:03 UTC,2632424,kornelija j,55.49153,21.2667,Aureoboletus projectellus
234837201,2024-08-10 08:11:12 UTC,8435266,el templar,54.3250829722,24.8233819722,Aureoboletus projectellus
235214302,2024-08-11 11:37:26 UTC,8439648,,55.1771717794,25.9028977901,Aureoboletus projectellus
235325825,2024-08-12 08:51:24 UTC,4977716,"",52.5169943,23.8991414,Aureoboletus projectellus
236603459,2024-08-17 11:02:42 UTC,8461346,,54.149613,24.1397168997,Aureoboletus projectellus
237013997,2024-08-19 12:57:00 UTC,1317190,Nelly Semenova,55.2640733622,20.9522628079,Aureoboletus projectellus
237511337,2024-08-18 07:52:28 UTC,2229703,Edita Jakubauskaitė,55.2058116737,25.6142283333,Aureoboletus projectellus
237854023,2024-08-24 16:57:33 UTC,8264539,"",57.7970389722,27.88502,Aureoboletus projectellus
238034277,2024-08-26 09:10:00 UTC,5006580,Laura Z.,55.2696393371,21.5915550909,Aureoboletus projectellus
238082807,2024-08-26 08:01:18 UTC,8449890,Sander Veer,57.1271146833,24.228801392,Aureoboletus projectellus
238213369,2024-07-15 09:00:00 UTC,7476307,,54.7141936052,17.2395623474,Aureoboletus projectellus
238601793,2024-08-29 11:59:00 UTC,7731451,,52.1270926803,21.5912830578,Aureoboletus projectellus
238954359,2024-08-31 13:18:45 UTC,1102956,Donatas Inis,55.6579031052,25.1515184185,Aureoboletus projectellus
239786381,2024-09-04 13:34:14 UTC,8527629,Justina Dimaitė,55.3017018177,21.0068745073,Aureoboletus projectellus
240925161,2024-09-08 10:44:00 UTC,7100123,GOTH,54.7025082092,26.8279542536,Aureoboletus projectellus
241626130,2024-09-14 10:20:46 UTC,8249968,fungiphage,59.5828197,24.7767222997,Aureoboletus projectellus
241672635,2024-08-25 13:35:00 UTC,1961044,Valerii Darmostuk,54.7576279722,17.5181,Aureoboletus projectellus
241829217,2024-09-15 09:17:51 UTC,4337671,,59.8314815091,23.1409845312,Aureoboletus projectellus
241881822,2024-09-15 09:12:00 UTC,2702953,Katriina Könönen,59.8311457982,23.1407207331,Aureoboletus projectellus
242261636,2024-09-13 12:01:00 UTC,3870232,Federico Calledda,58.2144149198,22.3206530884,Aureoboletus projectellus
243023370,2024-09-10 10:43:36 UTC,8109971,K.P.,57.7568005992,22.5962530822,Aureoboletus projectellus
243280469,2024-09-22 07:15:29 UTC,7542149,Mirosław Wantoch-Rekowski,54.346925,18.9647166667,Aureoboletus projectellus
243377664,2024-09-22 16:36:31 UTC,4797272,Анна Широкова,54.6156559253,19.8608889668,Aureoboletus projectellus
243599927,2024-09-12 11:20:24 UTC,1851329,Bobby Sulistyo,58.21755,22.329575,Aureoboletus projectellus
